"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"371";"Brasilzäo da Hipocrisia";"Criadores Digitais";"Direita";237692;7341
"372";"Erika Kokay";"Políticos/partidos";"Centro-Esquerda";236033;115186
"373";"Opera Mundi";"Mídia Alternativa";"Centro-Esquerda";235830;271122
"374";"Use um nariz de palhaço";"Criadores Digitais";"Direita";235721;98864
"375";"Diário de Hospital";"Criadores Digitais";"Direita";234262;52887
"376";"Blog do Josias";"Imprensa";"Direita";232563;54140
"377";"Debate Progressista";"Mídia Alternativa";"Centro-Esquerda";231899;119780
"378";"Senador José Medeiros";"Políticos/partidos";"Centro";231661;36260
"379";"BCCI-Brasil Contra a Corrupção e Impunidade.";"Sociedade Civil";"Direita";228815;99005
"380";"Tarcísio Motta";"Políticos/partidos";"Esquerda";226360;89353
"381";"Sul Vinte Um";"Mídia Alternativa";"Centro-Esquerda";223992;107892
"382";"Ricardo Boechat";"Imprensa";"Centro";223149;1262387
"383";"Capitalista Morena";"Criadores Digitais";"Direita";220981;113950
"384";"Fernando Pimentel";"Políticos/partidos";"Centro-Esquerda";219574;225986
"385";"JOTA";"Mídia Alternativa";"Direita";218439;121218
"386";"Programa de Ataque aos Corruptos.";"Criadores Digitais";"Esquerda";216091;34847
"387";"SFLB - Students For Liberty Brasil";"Sociedade Civil";"Direita";215305;118404
"388";"MST - Movimento dos Trabalhadores Sem Terra";"Sociedade Civil";"Centro-Esquerda";214958;310763
"389";"Caneta Desmanipuladora";"Criadores Digitais";"Centro-Esquerda";214224;242768
"390";"Leandro Karnal";"Sociedade Civil";"Esquerda";214068;845301
"391";"Babá";"Políticos/partidos";"Esquerda";213616;214236
"392";"Anarcomiguxos V";"Criadores Digitais";"Esquerda";211657;177588
"393";"Revoltirinhas";"Criadores Digitais";"Esquerda";211603;281918
"394";"Povo Brasileiro";"Criadores Digitais";"Direita";211572;148190
"395";"Carina Vitral";"Sociedade Civil";"Centro-Esquerda";210471;58397
"396";"Uma outra Opinião";"Criadores Digitais";"Esquerda";209972;188094
"397";"Politicamente Irado";"Criadores Digitais";"Direita";209046;49476
"398";"Padre João PT";"Políticos/partidos";"Centro-Esquerda";206177;77875
"399";"Bispo Antonio Bulhões";"Políticos/partidos";"Centro";205635;486998
"400";"Michel Temer";"Políticos/partidos";"Centro";205458;552590
"401";"Isso é culpa do PT";"Criadores Digitais";"Centro-Esquerda";205347;94188
"402";"ADPF - Associação Nacional dos Delegados de Polícia Federal";"Sociedade Civil";"Direita";204674;340036
"403";"VICE Brasil";"Mídia Alternativa";"Esquerda";204586;311237
"404";"Rachel Sheherazade";"Imprensa";"Direita";204576;2389703
"405";"Desenhista que Pensa";"Criadores Digitais";"Direita";204363;248788
"406";"Humans of Protesto";"Criadores Digitais";"Centro-Esquerda";203596;253859
"407";"Jornal do Brasil";"Imprensa";"Direita";203324;391509
"408";"Politica Estadão";"Imprensa";"Direita";201495;308351
"409";"TV Cultura";"Imprensa";"Centro";200809;765782
"410";"Compartilhe13";"Criadores Digitais";"Centro-Esquerda";199562;34182
"411";"Beto Albuquerque";"Políticos/partidos";"Centro";199393;122525
"412";"Brasil Capitalista";"Criadores Digitais";"Direita";198451;11845
"413";"Levante Popular da Juventude";"Sociedade Civil";"Centro-Esquerda";197295;280375
"414";"Ordem dos Médicos do Brasil";"Sociedade Civil";"Direita";197213;109741
"415";"Francisco Chagas";"Políticos/partidos";"Centro-Esquerda";196163;39459
"416";"Glauber Braga";"Políticos/partidos";"Esquerda";195723;141531
"417";"Mensaleiros & Cia.";"Criadores Digitais";"Direita";195206;33085
"418";"Pig Golpista";"Criadores Digitais";"Centro-Esquerda";194374;54686
"419";"Feminismo Sem Demagogia - Original";"Sociedade Civil";"Esquerda";194188;1076770
"420";"Uma Gota no Oceano";"Mídia Alternativa";"Centro";192822;920949
"421";"Correio do Povo";"Imprensa";"Centro";191379;334144
"422";"Eduardo Lopes";"Políticos/partidos";"Centro";189773;25121
"423";"Alexandre Borges";"Sociedade Civil";"Direita";189530;103236
"424";"Em terra de esquerdista quem tem cérebro é Rei";"Criadores Digitais";"Direita";188905;43867
"425";"Arquivos Feministas";"Criadores Digitais";"Esquerda";188667;294134
"426";"Cariocas Direitos";"Criadores Digitais";"Direita";188616;49517
"427";"Resistência anti-socialismo (nazismo, comunismo e doutrinas vermelhas)";"Criadores Digitais";"Direita";188499;60681
"428";"Jornalismo e Democracia";"Mídia Alternativa";"Direita";187366;4598
"429";"Renato Simões";"Políticos/partidos";"Centro-Esquerda";187054;39523
"430";"Correio Do Estado";"Imprensa";"Centro";186472;478484
"431";"MBL - Movimento Brasil Livre - RJ";"Sociedade Civil";"Direita";185017;12618
"432";"Bom Dia Brasil";"Imprensa";"Centro-Direita";183830;3221893
"433";"Conacc - Conselho Nacional de Combate à Corrupção";"Sociedade Civil";"Direita";182745;102161
"434";"Mães de Maio";"Sociedade Civil";"Esquerda";182671;118107
"435";"O Popular";"Imprensa";"Centro";182320;242270
"436";"Liberalismo da Zoeira";"Criadores Digitais";"Direita";182243;154023
"437";"Guarulhos Direita Conservadora";"Criadores Digitais";"Direita";181165;35598
"438";"Escola Sem Partido";"Sociedade Civil";"Direita";180624;91821
"439";"Musas Lulettes e Fidelettes";"Criadores Digitais";"Direita";180220;7886
"440";"PSTU Nacional";"Políticos/partidos";"Esquerda";180094;66048
"441";"Fernando Henrique Cardoso";"Políticos/partidos";"Centro-Direita";179029;519532
"442";"Marília Arraes";"Políticos/partidos";"Centro-Esquerda";177507;65826
"443";"Carteiro Reaça";"Criadores Digitais";"Direita";177139;92346
"444";"Correio Popular";"Imprensa";"Esquerda";176964;107338
"445";"PSDB na Câmara";"Políticos/partidos";"Centro-Direita";176773;114799
"446";"Ricardo Tripoli";"Políticos/partidos";"Centro-Direita";176768;207447
"447";"Capitalistas sem Capital";"Criadores Digitais";"Esquerda";176483;78715
"448";"Tarso Genro";"Políticos/partidos";"Centro-Esquerda";176228;157772
"449";"Bruno Araújo";"Políticos/partidos";"Centro-Direita";175443;159791
"450";"Fátima Bezerra";"Políticos/partidos";"Centro-Esquerda";174772;100117
"451";"Esta é uma Coxinha";"Criadores Digitais";"Centro-Esquerda";174698;201287
"452";"Embaixada da Resistência";"Criadores Digitais";"Direita";174218;128636
"453";"Arte Feminista";"Criadores Digitais";"Esquerda";173542;133346
"454";"Randolfe Rodrigues";"Políticos/partidos";"Esquerda";172814;125018
"455";"Blog da Maria Frô";"Mídia Alternativa";"Centro-Esquerda";171952;28307
"456";"SBT Brasil";"Imprensa";"Direita";171065;1111047
"457";"60"" Segundos";"Criadores Digitais";"Direita";170272;34307
"458";"Eu Apoio Aécio Neves em 2018";"Criadores Digitais";"Centro-Direita";170009;29477
"459";"Flávio Dino";"Políticos/partidos";"Centro-Esquerda";169818;138508
"460";"Pizza Política";"Criadores Digitais";"Direita";169003;15487
"461";"Professores de  Direita";"Criadores Digitais";"Direita";168541;27599
"462";"Jusbrasil";"Sociedade Civil";"Centro-Esquerda";168534;420533
"463";"clicRBS";"Imprensa";"Centro-Direita";166941;493755
"464";"Movimento Direito Para Quem";"Sociedade Civil";"Esquerda";166597;151241
"465";"Time Lula";"Criadores Digitais";"Centro-Esquerda";164538;52349
"466";"Acorda Serra";"Criadores Digitais";"Direita";163392;145230
"467";"Time Dilma";"Criadores Digitais";"Centro-Esquerda";162753;93060
"468";"Anc Brasil - Constituinte.";"Criadores Digitais";"Direita";160409;22229
"469";"Antonio Anastasia";"Políticos/partidos";"Centro-Direita";160032;88175
"470";"A Ditadura da Corrupção";"Criadores Digitais";"Direita";159950;29967
"471";"Wadih Damous";"Políticos/partidos";"Centro-Esquerda";159895;43742
"472";"Flavinho";"Políticos/partidos";"Centro-Direita";159862;215769
"473";"Sou Feliz por ser Catolico(a)";"Criadores Digitais";"Direita";159791;675186
"474";"Pompeo de Mattos";"Políticos/partidos";"Centro";159577;27237
"475";"Conectas";"Sociedade Civil";"Esquerda";157864;62557
"476";"Armando Monteiro";"Políticos/partidos";"Centro-Esquerda";157588;121454
"477";"Camilo Santana";"Políticos/partidos";"Centro-Esquerda";157449;189130
"478";"Campo Novo Falando a Verdade";"Criadores Digitais";"Direita";156964;6320
"479";"Acorda meu povo";"Criadores Digitais";"Esquerda";156762;42983
"480";"Direita Realista";"Criadores Digitais";"Direita";153511;68300
"481";"Deputado Fernando Ferro";"Políticos/partidos";"Centro-Esquerda";153407;22956
"482";"Frente Brasil Popular";"Sociedade Civil";"Centro-Esquerda";153202;99721
"483";"Rafucko";"Mídia Alternativa";"Esquerda";153061;89206
"484";"Helder Barbalho";"Políticos/partidos";"Centro";152773;90496
"485";"Leonardo Boff";"Sociedade Civil";"Centro-Esquerda";152590;488674
"486";"Robson Leite";"Políticos/partidos";"Centro-Esquerda";152533;30680
"487";"revista piauí";"Imprensa";"Esquerda";152389;403317
"488";"Carlos Giannazi";"Políticos/partidos";"Esquerda";152000;41054
"489";"Não fechem minha escola";"Sociedade Civil";"Esquerda";151405;216352
"490";"UNE - União Nacional dos Estudantes";"Sociedade Civil";"Centro-Esquerda";150885;303299
"491";"Capitão Augusto - Deputado Federal";"Políticos/partidos";"Direita";150685;125320
"492";"Eleições da Zueira";"Criadores Digitais";"Esquerda";150279;187359
"493";"Anistia Internacional Brasil";"Sociedade Civil";"Esquerda";149169;262272
"494";"Repórter Brasil";"Imprensa";"Esquerda";147523;136897
"495";"Jorge Viana";"Políticos/partidos";"Centro-Esquerda";146221;103118
"496";"Obviamente";"Criadores Digitais";"Centro-Esquerda";145873;18834
"497";"Reinaldo Azambuja";"Políticos/partidos";"Centro-Direita";145520;72616
"498";"Eu não voto em Dilma #Eleicao2014 Brasil sem PT";"Criadores Digitais";"Direita";145104;28597
"499";"Levy Fidelix";"Políticos/partidos";"Direita";144946;199821
"500";"Pastor Marco Feliciano Me Representa";"Criadores Digitais";"Direita";143515;274877
"501";"Apoio a Polícia Militar";"Criadores Digitais";"Direita";143463;74523
"502";"Movimento Brasil Livre - Brasília";"Sociedade Civil";"Direita";143328;32087
"503";"Papo TV";"Mídia Alternativa";"Direita";143066;115688
"504";"Roberto Requião";"Políticos/partidos";"Centro";142697;111738
"505";"Rádio Gaúcha";"Imprensa";"Centro";141898;738646
"506";"Minas contra o golpe";"Criadores Digitais";"Centro-Esquerda";141797;85142
"507";"Eros Biondini";"Políticos/partidos";"Centro-Direita";141366;325898
"508";"Não Te Contaram";"Criadores Digitais";"Centro-Esquerda";141072;48016
"509";"Circo Brasil onde o povo é o palhaço";"Criadores Digitais";"Direita";139537;43873
"510";"Conservadores";"Criadores Digitais";"Direita";139178;114491
"511";"Ruth Sheherazade";"Criadores Digitais";"Esquerda";137913;129544
"512";"Luiz Sérgio";"Políticos/partidos";"Centro-Esquerda";134499;16111
"513";"Anti-Neo Ateísmo.";"Criadores Digitais";"Direita";134409;73647
"514";"Bar do Ateu";"Criadores Digitais";"Esquerda";134404;203474
"515";"PIG - Partido da Imprensa Golpista";"Mídia Alternativa";"Centro-Esquerda";134391;58632
"516";"PT Paulista";"Políticos/partidos";"Centro-Esquerda";133941;33759
"517";"César Colnago";"Políticos/partidos";"Centro";132801;27417
"518";"Pescotapa Diário";"Criadores Digitais";"Centro-Esquerda";132727;15215
"519";"Dilma Mais Que Bolada";"Criadores Digitais";"Centro-Esquerda";132022;54587
"520";"Sociedade Sem Prisões";"Criadores Digitais";"Esquerda";131437;89468
"521";"Tradicionalismo Feminino";"Criadores Digitais";"Direita";131025;26777
"522";"Apoio ao Juiz Sérgio Moro";"Criadores Digitais";"Direita";131001;295916
"523";"Slam Resistência";"Criadores Digitais";"Esquerda";130386;225219
"524";"Agência Pública";"Sociedade Civil";"Esquerda";130179;153149
"525";"Liberte-se do Sistema";"Criadores Digitais";"Esquerda";129901;218400
"526";"Flavio Morgenstern";"Sociedade Civil";"Direita";129042;55369
"527";"Luizianne Lins";"Políticos/partidos";"Centro-Esquerda";128909;68458
"528";"Levante Negro";"Mídia Alternativa";"Esquerda";127712;228509
"529";"Auditoria Cidadã da Dívida";"Sociedade Civil";"Esquerda";127601;80257
"530";"Rodrigo Rollemberg";"Políticos/partidos";"Centro";126150;102741
"531";"O Brasil Real";"Criadores Digitais";"Direita";125628;35793
"532";"Jornal da Globo";"Imprensa";"Direita";125018;2470179
"533";"Eduardo Paes";"Políticos/partidos";"Centro";124754;140938
"534";"Ativismo, Poesia e Arte";"Criadores Digitais";"Esquerda";124637;377458
"535";"Nossa Filosofia";"Criadores Digitais";"Esquerda";124598;50701
"536";"Ursinhos Bolivarianos";"Criadores Digitais";"Direita";124523;11962
"537";"PEC 412 - Autonomia da PF";"Sociedade Civil";"Direita";123807;87369
"538";"Percival Puggina";"Sociedade Civil";"Direita";122966;40982
"539";"Sou da Paz";"Sociedade Civil";"Esquerda";122632;26995
"540";"Galera CNB";"Criadores Digitais";"Centro-Esquerda";121854;48478
"541";"A culpa é do FHC";"Criadores Digitais";"Direita";118042;125938
"542";"Direita Curitiba";"Sociedade Civil";"Direita";117183;27595
"543";"Radar On-line";"Imprensa";"Centro-Direita";116651;203713
"544";"Rearme";"Sociedade Civil";"Direita";115175;118862
"545";"Cidade Democrática";"Sociedade Civil";"Esquerda";115105;126634
"546";"Senso Incomum";"Mídia Alternativa";"Direita";115017;61878
"547";"Esquerda Online";"Mídia Alternativa";"Esquerda";114777;45914
"548";"Jair Bolsoneca";"Criadores Digitais";"Esquerda";114310;73951
"549";"LEMBRAREMOS DE VOCÊ NA ELEIÇÃO";"Criadores Digitais";"Direita";114195;42350
"550";"Socializando";"Criadores Digitais";"Esquerda";113702;41255
"551";"Bastidores da Mídia";"Criadores Digitais";"Centro-Esquerda";113594;70532
"552";"Velório da Direita";"Criadores Digitais";"Centro-Esquerda";113101;49340
"553";"Rodrigo Mezzomo";"Sociedade Civil";"Direita";113099;50850
"554";"Dionilso Marcon";"Políticos/partidos";"Centro-Esquerda";113062;23410
"555";"Luiza Erundina";"Políticos/partidos";"Esquerda";113022;243454
"556";"Afonso Florence";"Políticos/partidos";"Centro-Esquerda";112291;34397
"557";"PT - Diretório Municipal de São Paulo";"Políticos/partidos";"Centro-Esquerda";112086;6225
"558";"Paraná Portal";"Mídia Alternativa";"Centro";111905;58795
"559";"CAMPANHA RIR PARA NÃO CHORAR";"Sociedade Civil";"Direita";111574;156589
"560";"Claudio Vignatti";"Políticos/partidos";"Centro-Esquerda";111452;14703
"561";"Escolástica da Depressão";"Criadores Digitais";"Direita";110523;113370
"562";"Roda Viva";"Imprensa";"Centro";110055;213189
"563";"Golpistas Nunca Mais";"Criadores Digitais";"Centro-Esquerda";108933;26711
"564";"Fora Islamismo Nazismo Comunismo";"Criadores Digitais";"Direita";108538;11430
"565";"Benedito de Lira";"Políticos/partidos";"Centro";108302;42264
"566";"Ratinho Junior";"Políticos/partidos";"Centro";108093;485801
"567";"Patricia Pillar";"Sociedade Civil";"Centro-Esquerda";107808;1284419
"568";"Observador Político";"Criadores Digitais";"Centro-Direita";107654;127808
"569";"PRB Nacional";"Políticos/partidos";"Centro";107382;94600
"570";"Webguerrilheiro Brasil";"Criadores Digitais";"Centro-Esquerda";107372;5481
"571";"Sou Ateu Brasil.";"Criadores Digitais";"Esquerda";107314;119428
"572";"TV Brasil";"Imprensa";"Centro-Esquerda";106143;454309
"573";"Realidade Escrota";"Criadores Digitais";"Esquerda";106119;97270
"574";"Movimento Brasil Livre - Belo Horizonte MG";"Sociedade Civil";"Direita";105056;22830
"575";"Nelson Pelegrino";"Políticos/partidos";"Centro-Esquerda";105022;25442
"576";"Reginaldo Lopes";"Políticos/partidos";"Centro-Esquerda";104589;56034
"577";"Fechado Contra Aecio";"Criadores Digitais";"Centro-Esquerda";104238;31839
"578";"Pedro Uczai";"Políticos/partidos";"Centro-Esquerda";103453;23795
"579";"Amigos da Direita";"Criadores Digitais";"Direita";103024;4737
"580";"Movimento de Revolução Social Petista - MRSP";"Sociedade Civil";"Centro-Esquerda";102260;12730
"581";"Jornalismo TV Cultura";"Imprensa";"Centro-Esquerda";102135;224156
"582";"Orgulho de ser Reaça";"Criadores Digitais";"Direita";101457;101919
"583";"Gazeta Social";"Mídia Alternativa";"Direita";100868;230452
"584";"Brasil sem Comunismo";"Criadores Digitais";"Direita";100838;3087
"585";"SOMOS TODOS General Mourão";"Criadores Digitais";"Direita";100784;112944
"586";"Juntos";"Sociedade Civil";"Esquerda";100267;55902
"587";"Poder Negro - Black Power";"Sociedade Civil";"Esquerda";100137;262919
"588";"Anda Agência de Notícias";"Mídia Alternativa";"Centro";99809;144852
"589";"AnonOpsBrazil";"Mídia Alternativa";"Esquerda";99283;87526
"590";"Beto Richa";"Políticos/partidos";"Centro-Direita";99100;251770
"591";"Eduardo Cunha";"Políticos/partidos";"Centro";98926;267608
"592";"Nerd Socialista";"Criadores Digitais";"Esquerda";98848;46692
"593";"Fora Eduardo Paes";"Criadores Digitais";"Esquerda";98844;27894
"594";"PSDB NUNCA MAIS";"Criadores Digitais";"Centro-Esquerda";98183;73128
"595";"Floriano Pesaro";"Políticos/partidos";"Centro-Direita";97892;38870
"596";"Menes de Esquerda";"Criadores Digitais";"Esquerda";97863;88210
"597";"Senador Paulo Paim";"Políticos/partidos";"Centro-Esquerda";97572;46270
"598";"Partido Pirata - Brasil";"Sociedade Civil";"Esquerda";97364;212142
"599";"Aécio Brasil";"Criadores Digitais";"Centro-Direita";97155;277988
"600";"À Esquerda";"Criadores Digitais";"Esquerda";96850;1686
"601";"Mais Médicos Fail";"Criadores Digitais";"Direita";96622;32529
"602";"Eu sou o Capitalismo";"Criadores Digitais";"Direita";95860;63910
"603";"Bocão News";"Mídia Alternativa";"Centro";95850;384255
"604";"Indiquem o Juiz Moro ao STF";"Criadores Digitais";"Direita";95830;127018
"605";"Movimento Pró-Corrupção";"Sociedade Civil";"Esquerda";95475;92552
"606";"Não aguento quando";"Criadores Digitais";"Esquerda";95216;156633
"607";"Aprende, paspalho";"Criadores Digitais";"Direita";94997;295713
"608";"Metendo a Real";"Criadores Digitais";"Direita";94099;172498
